"MonitoringLocationTypeName","IR_FLAG","InData"
"Canal Drainage","ACCEPT","Y"
"Canal Irrigation","ACCEPT","Y"
"Canal Transport","ACCEPT","Y"
"Lake","ACCEPT","Y"
"Lake, Reservoir, Impoundment","ACCEPT","Y"
"Other-Surface Water","ACCEPT","Y"
"Pond-Stormwater","REJECT","Y"
"Reservoir","ACCEPT","Y"
"River/Stream","ACCEPT","Y"
"River/Stream Intermittent","ACCEPT","Y"
"River/Stream Perennial","ACCEPT","Y"
"Seep","ACCEPT","Y"
"Spring","ACCEPT","Y"
"Stream","ACCEPT","Y"
"Stream: Canal","ACCEPT","Y"
"Stream: Ditch","REJECT","Y"
